,name,type,place,note,fill_lim,regime,lat,lon
25,ФКУ «КП № 4 УФСИН России по Амурской области»,Колония-поселение,"Ивановский район, с.  Приозерное","
",,,50.509605,128.14028960000002
26,ФКУ «ИК № 8 УФСИН России по Амурской области»,Исправительная колония,Благовещенск,"
",,,50.2961695,127.53340250000001
27,ФКУ  «СИЗО № 1 УФСИН России по Архангельской области»,Следственный изолятор,Архангельск,"Лимит наполнения: 283 человека. [26] 
",283.0,,64.5611935,40.5559949
28,ФКУ «СИЗО № 2 УФСИН России по Архангельской области»,Следственный изолятор,Котлас,"
",,,61.227456,46.668324500000004
29,ФКУ «СИЗО № 3 УФСИН России по Архангельской области»,Следственный изолятор,Вельск,"
",,,61.061923500000006,42.1196761
30,ФКУ «СИЗО № 4 УФСИН России по Архангельской области»,Следственный изолятор,Архангельск,"Лимит наполнения: 393 человека. [27] 
",393.0,,64.5611935,40.5559949
31,ФКУ «ИК № 1 УФСИН России по Архангельской области»,Исправительная колония,Архангельск,"Лимит наполнения: 1206 человек. Вид режима: строгий для ранее отбывавших наказание в виде лишения свободы. [28] 
",1206.0,строгий,64.5611935,40.5559949
32,ФКУ «КП № 3 УФСИН России по Архангельской области»,Колония-поселение,"Приморский район , пос.  Талаги","Лимит наполнения: 206 человек. Вид режима: КП для впервые осужденных. [29] 
",206.0,КП,64.6181454,40.63525
33,ФКУ «ИК № 4 УФСИН России по Архангельской области»,Исправительная колония,Котлас,"Лимит наполнения: 1205 человек, включая участок КП на 29 человек. Вид режима: строгий для ранее отбывавших наказание. [30] 
",1205.0,строгий,61.227456,46.668324500000004
34,ФКУ «ИК № 5 УФСИН России по Архангельской области»,Исправительная колония,Коряжма,"Лимит наполнения: 973 человека. Вид режима: строгий для впервые отбывающих наказание. [31] 
",973.0,строгий,61.30675049999999,47.1501282
35,ФКУ «ИК № 7 УФСИН России по Архангельской области»,Исправительная колония,Архангельск,"Лимит наполнения: 787 человек. Вид режима: общий для ранее отбывавших наказание. [32] 
",787.0,общий,64.5611935,40.5559949
36,ФКУ «ЛИУ № 8 УФСИН России по Архангельской области»,Лечебно-исправительное учреждение,"Плесецкий район , пос.  Пукса","Лимит учреждения: 509 человек. Вид режима: ЛИУ для больных туберкулёзом. [33] 
",,ЛИУ,62.603040150000005,40.3147401
37,ФКУ «ИК № 12 УФСИН России по Архангельской области»,Исправительная колония,"Холмогорский район , д. Данилово","Лимит наполнения: 568 человек. Вид режима: строгий для впервые отбывающих наказание. [34] 
",568.0,строгий,56.435943,33.559666
38,ФКУ «ИК № 14 УФСИН России по Архангельской области»,Исправительная колония,"Вельский район , д.  Горка Муравьёвская","Лимит наполнения: 1291 человек. Вид режима: общий для впервые отбывающих наказание. [35] 
",1291.0,общий,61.09818489999999,42.128059799999996
39,ФКУ «ИК № 16 УФСИН России по Архангельской области»,Исправительная колония,"Архангельская область,  г. Онега, ул. Красноармейская,  60","Лимит наполнения: 452 человек. Вид режима: особый. [36] 
",452.0,особый,63.9119978,38.1002591
40,ФКУ «КП № 19 ОУХД УФСИН России по Архангельской области»,Колония-поселение,"Пинежский район , пос.  Междуреченский","Лимит наполнения: 807 человек. КП с особыми условиями хозяйственной деятельности. [37] 
",807.0,,64.04777755,43.421667
41,ФКУ «ИК № 21 УФСИН России по Архангельской области»,Следственный изолятор,"Плесецкий район , пос.  Икса","Входит в состав ФКУ  ОИУ ОУХД  № 2. Лимит наполнения: 829 человек, включая участок КП на 80 человек. Вид режима: строгий для ранее отбывавших наказание. [38] 
",829.0,строгий,62.596666549999995,39.820277999999995
42,ФКУ «КП № 23 УФСИН России по Архангельской области»,Следственный изолятор,"Коношский район , п. Мостовица","Входит в состав ФКУ  ОИУ ОУХД  № 4. Лимит наполнения: 200 человек. Вид режима: КП для впервые осужденных. [39] 
",200.0,КП,60.79829015,39.797599000000005
43,ФКУ «КП № 27 УФСИН России по Архангельской области»,Следственный изолятор,"Плесецкий район , пос.  Янгоры","Входит в состав ФКУ  ОИУ ОУХД  № 2. Лимит наполнения: 399 человек. Вид режима: КП для ранее отбывавших наказание. [40] 
",399.0,КП,62.78729454999999,37.7948846
44,ФКУ «ИК № 28 УФСИН России по Архангельской области»,Следственный изолятор,"Коношский район , пос.  Ерцево","Входит в состав ФКУ  ОИУ ОУХД  № 4. Лимит наполнения: 1383 человека. Вид режима: строгий для впервые осужденных. [41] 
",1383.0,строгий,60.793725499999994,40.0859951
45,ФКУ «ИК № 29 УФСИН России по Архангельской области»,Следственный изолятор,"Плесецкий район , пос.  Емца","Лимит наполнения: 677 человека. Вид режима: особый. [42] 
",677.0,особый,63.0707599,40.3363701
46,ФКУ «Архангельская ВК УФСИН России по Архангельской области»,Воспитательная колония,"Приморский район , пос.  Талаги","Лимит наполнения: 181 человек. [43] 
",181.0,,64.6181454,40.63525
47,ФКУ  «СИЗО № 2 УФСИН по Белгородской области»,Следственный изолятор,Старый Оскол,"Лимит наполнения: 240 мест. В 1795 году построено здание присутственных мест, на первом полуподвальном этаже которого располагались две арестантские камеры. В 1944 года на базе здания организована Старооскольская тюрьма № 7. С 1967 года — СИЗО. [45] 
",240.0,,51.23871539999999,37.83859045
48,ФКУ «СИЗО № 3 УФСИН по Белгородской области»,Следственный изолятор,Белгород,"Лимит наполнения: 504 места. Образован в 2002 году. [46] 
",504.0,,50.58950255,36.573134550000006
49,ФКУ «ИК № 4 УФСИН по Белгородской области»,Исправительная колония,"Белгородская область, г. Алексеевка, ул.Привокзальная, 2 А","Лимит наполнения: 1111 мест, включая участок КП на 36 мест. Вид режима: общий для впервые осуждённых. Образована в 1961 году на базе машинно-ремонтного завода как ИТК-4 усиленного режима. С 1992 года режим содержания общий. [47] 
",1111.0,общий,50.6185694,38.6699078
50,ФКУ «ИК № 5 УФСИН по Белгородской области»,Исправительная колония,Белгород,"Лимит наполнения: 1566 мест, включая туберкулёзную больницу на 105 мест и участок КП на 50 мест. Вид режима: строгий для ранее судимых. Образована в 1930-х годах как трудовой лагерь  ОГПУ . С 1948 года — ИТК общего режима, с 1960 года — строгого режима. [48] 
",1566.0,строгий,50.58950255,36.573134550000006
51,ФКУ «ИК № 6 УФСИН по Белгородской области»,Исправительная колония,Валуйки,"Лимит наполнения: 699 мест, включая участок КП на 40 мест. Вид режима: общий для ранее судимых. Образована в 1994 году как КП на базе ЛТП. С 1999 года — ИК общего режима. [49] 
",699.0,общий,50.192533950000005,38.1093854
52,ФКУ «ИК № 7 УФСИН по Белгородской области»,Исправительная колония,Валуйки,"Лимит наполнения: 1202 места. Вид режима: строгий для впервые осуждённых. Образована в 1944 году как ИТК строгого режима. С 1961 года — ИТК общего режима. В 1989 году ликвидирована. В 1994 году вновь образована как ИТК строгого режима. [50] 
",1202.0,строгий,50.192533950000005,38.1093854
53,ФКУ «КП № 8 УФСИН по Белгородской области»,Колония-поселение,"Чернянский район , пос.  Чернянка","Лимит наполнения: 208 мест, в том числе для осужденных женщин — 32 места. Образована в 1999 году на территории бывшей производственной базы ОАО «Белэнергомаш» как КП № 8 сельскохозяйственного профиля с раздельным содержанием мужчин и женщин. [51] 
",208.0,,50.9470615,37.814423
54,ФКУ «ИК № 9 УФСИН по Белгородской области»,Исправительная колония,Валуйки,"Лимит наполнения: 400 мест. Вид режима: общий для ранее судимых женщин. Образована в 1935 году на территории мужского монастыря как Валуйская детская трудовая колония. В 2011 году перепрофилирована в ИК-9. [52] 
",400.0,общий,50.192533950000005,38.1093854
55,ФКУ «Новооскольская ВК УФСИН России по Белгородской области»,Воспитательная колония,Новый Оскол,"Лимит наполнения: 96 мест. Вид режима: общий, женская. В XVIII веке в Новом Осколе была построена тюрьма. В 1955 году она была ликвидирована, а на её территории разместилась детская трудовая колония усиленного режима для юношей-подростков. В 1959 году перепрофилирована в колонию общего режима для несовершеннолетних осуждённых женского пола. [53] 
",96.0,общий,50.76266705,37.87336859999999
56,ФКУ  «СИЗО № 1 УФСИН по Брянской области»,Следственный изолятор,Брянск,"Лимит наполнения: 600 человек. Образован в 1780 году как тюрьма. С 1946 года — тюрьма №1 УМВД по Брянской области. В 1953 году на базе тюрьмы образован СИЗО. [55] 
",600.0,,53.280029,34.34696195
57,ФКУ «СИЗО № 2 УФСИН по Брянской области»,Следственный изолятор,Новозыбков,"Образован в 1840 году как Новозыбковский острог для содержания беглых каторжников. С 1943 года — тюрьма для осуждённых мужчин, с 1974 года — тюрьма для женщин-рецидивисток и осуждённых за преступления в женских ИУ. С 1995 года — СИЗО. [56] 
",,,52.535028,31.94151715
58,ФКУ «ИК № 1 УФСИН по Брянской области»,Исправительная колония,Брянск,"Лимит наполнения: 1400 человек. Вид режима: строгий. Образована как ИТК-1 строгого режима в апреле 1945 года на базе производственного участка по переработке древесины, где проживали и работали немецкие военнопленные. До середины 1950-х в колонии содержались мужчины и женщины. [57] 
",1400.0,строгий,53.280029,34.34696195
59,ФКУ «ИК № 2 УФСИН по Брянской области»,Исправительная колония,Брянск,"Вид режима: строгий. Образована в 1961 году как ИТК усиленного режима. В 1995 году перепрофилирована на общий режим, в 2002 — на особый режим, а в 2007 году стала колонией строгого режима. При ИК-2 действует областная больница для стационарного лечения спецконтингента. [58] 
",,строгий,53.280029,34.34696195
60,ФКУ «КП № 3 УФСИН по Брянской области»,Колония-поселение,"Брянская область, г. Сураж, ул. Лесная, 3","Лимит наполнения: 250 человек. С 1976 по 1993 — ЛТП. С 2001 года — КП-3. [59] 
",250.0,,53.0158282,32.3594251
61,ФКУ «ИК № 4 УФСИН по Брянской области»,Исправительная колония,"Брасовский район , пос.  Каменка","Вид режима: строгий. Образована в 1957 года на базе карьера по добыче промышленного камня как ИТК-4. [60] 
",,строгий,52.49533745,34.5201014
62,ФКУ «ИК № 5 УФСИН по Брянской области»,Исправительная колония,Стародуб,"Образована в 1932 году как колония для девочек-беспризорниц. С 1943 года — спецтюрьма для предателей Родины и пособников фашистов, а по окончании Великой Отечественной войны и до 1958 года колония для несовершеннолетних. С 1958 года — мужская ИТК-5. В 1998 году ИК-5 стала колонией общего режима, а с 2016 года — колонией строгого режима. [61] 
",,,52.5841355,32.75450994999999
63,ФКУ «ИК № 6 УФСИН по Брянской области»,Исправительная колония,Клинцы,"Вид режима: общий. Образована в 1961 году на базе кирпичного завода №2 как ИТК-6. [62] 
",,общий,52.755247999999995,32.24879805
64,ФКУ «Брянская ВК УФСИН по Брянской области»,Воспитательная колония,Брянск,"Образована в 1956 году на базе женской колонии как колония для несовершеннолетних. В 1991 году на территории ВК открылся типовой СИЗО для несовершеннолетних. В БВК отбывают наказание около 60 воспитанников, ещё около 20 находятся в следственном изоляторе при БВК. [63] 
",,,53.280029,34.34696195
65,ФКУ  «СИЗО № 1 УФСИН по Владимирской области»,Следственный изолятор,Владимир,"Лимит наполнения: 457 человек. Образована в 1820-х годах как Владимирский тюремный замок. [65] 
",457.0,,52.7091415,32.467927949999996
66,ФКУ «СИЗО № 2 УФСИН по Владимирской области»,Следственный изолятор,Александров,"
",,,56.393527999999996,38.72811915
67,ФКУ «СИЗО № 3 УФСИН по Владимирской области»,Следственный изолятор,Кольчугино,"Лимит наполнения: вместимостью 336 человек. Образован в 1994 году на базе бывшего ЛТП. Открыт в 2006 году. [66] 
",336.0,,56.3005925,39.368521449999996
68,ФКУ «Тюрьма № 1 УФСИН по Владимирской области»,Тюрьма,"Владимирская область, Петушинский район, город Покров, ул. Октябрьская, д. 75","Вид режима: для осуждённых на тюремный режим, больных туберкулёзом. Имеется ПФРСИ. Образована в 1822 году как Покровский тюремный замок. Позднее — Покровская пересыльная тюрьма. С начала 1960-х годов специализированная тюрьма для туберкулёзных больных. [67] 
",,,55.9155675,39.1684033
69,ФКУ «Тюрьма № 2 УФСИН по Владимирской области» « Владимирский централ »,Тюрьма,Владимир,"Лимит наполнения: 1220 человек, считая ПФРСИ. Вид режима: тюрьма для особо опасных преступников и злостных нарушителей режима в ИК. [68]  Образована в 1783 году как рабочий дом для осуждённых за нетяжкие преступления. С 1838 года — арестантская рота. С 1906 года временная каторжная тюрьма для политарестантов, сразу после революции — Владгубисправдом, с начала 1920-х годов — Владимирский политический изолятор, затем ТОН (тюрьма особого назначения). [69] 
",1220.0,,52.7091415,32.467927949999996
70,ФКУ «ИК № 1 УФСИН по Владимирской области»,Исправительная колония,"Судогодский район , пос.  Головино","Лимит наполнения: 1130 человек, включая участок КП в Кольчугино на 123 человека, в том числе для осуждённых женщин — 53 человека. Образована в 1937 году на базе лесозавода. [70] 
",1130.0,,55.9519865,40.438771949999996
71,ФКУ «ИК № 2 УФСИН по Владимирской области»,Исправительная колония,"Владимирская область, Петушинский район, г. Покров, ул. Франца Штольверка д.6","Лимит наполнения: 794 человека. Вид режима: общий. Образована в 1974 году как ЛТП-2. В 1994 году реорганизована в мужскую ИТК-2 общего режима; при ИТК образован участок КП. [71] 
",794.0,общий,55.9039189,39.1822213
72,ФКУ «ИК № 3 УФСИН по Владимирской области»,Исправительная колония,Владимир,"Лимит наполнения: 1211 человек, включая туберкулёзную больницу на 379 мест и участок КП на 25 мест. Вид режима: строгий. Образована в 1956 году. С 1964 года на территории функционирует областная больница для осуждённых. [72] 
",1211.0,строгий,52.7091415,32.467927949999996
73,ФКУ «ИК № 4 УФСИН по Владимирской области»,Исправительная колония,Вязники,"Лимит наполнения: 1186 человек, включая участок КП в д. Степаньково на 30 мест. Вид режима: строгий. [73] 
",1186.0,строгий,56.238575499999996,42.14987245
74,ФКУ «ИК № 5 УФСИН по Владимирской области»,Исправительная колония,Владимир,"Лимит наполнения: 1235 человек, включая участок КП на 30 мест. Вид режима: общий. Образована в 1961 году рядом в селе Спасское как ИТК строгого режима. С 1964 гоад колония общего режима. В 1975 году переведена во Владимир. [74] 
",1235.0,общий,52.7091415,32.467927949999996
75,ФКУ «ИК № 6 УФСИН по Владимирской области»,Исправительная колония,"Ковровский район ,  Мелехово","Лимит наполнения: 1500 человек, включая участок КП на 29 мест и ЕПКТ на 20 мест. Вид режима: строгий. Образована в 1959 году [75] 
",1500.0,строгий,56.2648715,41.30994545
76,ФКУ «ИК № 7 УФСИН по Владимирской области»,Исправительная колония,"Ковровский район ,  Пакино","Лимит наполнения: 1230 человек, включая участок особого режима на 300 мест, ЕПКТ на 10 мест и ПФРСИ на 220 мест. Вид режима: строгий. [76] 
",1230.0,строгий,56.3644951,41.2351675
77,ФКУ «ЛИУ № 8 УФСИН по Владимирской области»,Лечебно-исправительное учреждение,Киржач,"Лимит наполнения: 491 человек, включая участок КП на 19 мест. Вид режима: содержание и амбулаторное лечение осуждённых, больных туберкулёзом. Образована в 1967 году. В 1987 года перепрофилирована в колонию строгого режима для содержания и лечения осуждённых, больных туберкулёзом. [77] 
",491.0,общий,56.15491049999999,38.87220305
78,ФКУ «КП № 9 УФСИН по Владимирской области»,Колония-поселение,"Вязниковский район ,  Чудиново","Лимит наполнения: 168 человек. Вид режима: КП для содержания осуждённых за преступления небольшой и средней тяжести. Образовано в 2001 году на базе обанкротившегося СПК «Вязниковский». [78] 
",168.0,КП,56.241181000000005,42.066940849999995
79,ФКУ «ИК № 10 УФСИН по Владимирской области»,Исправительная колония,"Судогодский район ,  Ликино","Лимит наполнения: 351 человек. Вид режима: общий, для женщин, ранее отбывавших наказание в виде лишения свободы. Образована в 2011 году на базе Судогодской ВК как ИК-10 для неоднократно судимых женщин. [79] 
",351.0,общий,55.94212855,41.08126
80,ФКУ  «СИЗО № 2 УФСИН России по Вологодской области»,Следственный изолятор,Вологда,"Лимит наполнения: 750 человек. [81] 
",750.0,,59.222129,39.87596465
81,ФКУ «СИЗО № 3 УФСИН России по Вологодской области»,Следственный изолятор,Череповец,"Лимит наполнения: 469 человек. [82] 
",469.0,,59.129017049999995,37.85029495
82,ФКУ «ИК № 1 УФСИН России по Вологодской области»,Исправительная колония,Вологда,"Лимит наполнения: 618 человек. Вид режима: общий для осуждённых женщин. [83] 
",618.0,общий,59.222129,39.87596465
83,ФКУ «ИК № 2 УФСИН России по Вологодской области»,Исправительная колония,"Вологодский район , д.  Княгинино","Лимит наполнения: 404 человека. Вид режима: общий для осуждённых женщин. [84] 
",404.0,общий,59.12111055,40.11305599999999
84,ФКУ «ИК № 3 УФСИН России по Вологодской области»,Исправительная колония,Великий Устюг,"Лимит наполнения: 800 человек. Вид режима: общий. [85] 
",800.0,общий,60.760970549999996,46.296479600000005
85,ФКУ «ИК № 4 УФСИН России по Вологодской области»,Исправительная колония,"Вологодская область, г. Сокол, ул. Сосновая, 7","Лимит наполнения: 853 человека. Вид режима: особый. [86] 
",853.0,особый,59.4638409,40.0642977
86,ФКУ «ИК № 5 УФСИН России по Вологодской области» « Вологодский пятак »,Исправительная колония,"Белозёрский район ,  остров Огненный","Лимит наполнения: 595 человек, включая участок строгого режима на 55 мест. Вид режима: особый для пожизненно осуждённых. Образована после революции как тюрьма для «врагов революции» на месте закрытого  Кирилло-Новоезерского монастыря . С 1956 года — ИТК-17 строгий режим для осуждённых в первый раз. В 1994 году перепрофилирована в ИК для пожизненно осуждённых. [87] 
",595.0,особый,59.9540054,37.2378086
87,ФКУ «КП № 6 УФСИН России по Вологодской области»,Колония-поселение,Грязовец,"Лимит наполнения: 195 человек. [88] 
",195.0,,58.8755495,40.24860985000001
88,ФКУ «КП № 7 УФСИН России по Вологодской области»,Колония-поселение,"Череповецкий район , пос.  Суда","Лимит наполнения: 350 человек. [89] 
",350.0,,59.15199605,37.5715205
89,ФКЛПУ «МБ № 10 УФСИН России по Вологодской области»,Лечебно-профилактическое учреждение,Вологда,"ФКЛПУ  «Межобластная больница для осужденных № 10». Лимит наполнения: 230 человек. [90] 
",230.0,,59.222129,39.87596465
90,ФКУ «ИК № 12 УФСИН России по Вологодской области»,Исправительная колония,"Шекснинский район , пос.  Шексна","Лимит наполнения: 1314 человек. Вид режима: строгий. [91] 
",1314.0,строгий,59.21795699999999,38.50593945
91,ФКУ «ИК № 17 УФСИН России по Вологодской области»,Исправительная колония,"Шекснинский район , пос.  Шексна","Лимит наполнения: 1565 человек. Вид режима: строгий. [92] 
",1565.0,строгий,59.21795699999999,38.50593945
92,ФКУ «ИК № 20 УФСИН России по Вологодской области»,Исправительная колония,Устюжна,"Лимит наполнения: 1206 человек. Вид режима: общий. [93] 
",1206.0,общий,58.8386325,36.4385709
93,ФКУ  «СИЗО № 1 УФСИН по Воронежской области»,Следственный изолятор,Воронеж,"Лимит наполнения: 766 человек. [95] 
",766.0,,51.693997949999996,39.33125445
94,ФКУ «СИЗО № 2 УФСИН по Воронежской области»,Следственный изолятор,Борисоглебск,"Лимит наполнения: 128 человек. [96] 
",128.0,,51.364535999999994,42.10119545
95,ФКУ «СИЗО № 3 УФСИН по Воронежской области»,Следственный изолятор,Воронеж,"Лимит наполнения: 235 человек. [97] 
",235.0,,51.693997949999996,39.33125445
96,ФКУ «ОТБ № 1 УФСИН по Воронежской области»,Больница,Воронеж,"ФКУ «Областная туберкулёзная больница № 1». Лимит наполнения: 300 человек, включая соматическое отделение на 63 места. Вид режима: все виды. [98] 
",300.0,,51.693997949999996,39.33125445
97,ФКУ «ИК № 1 УФСИН по Воронежской области»,Исправительная колония,Семилуки,"Лимит наполнения: 1235 человек, включая участок КП на 15 мест. Вид режима: строгий для ранее отбывавших наказание. [99] 
",1235.0,строгий,51.6860545,39.02231085
98,ФКУ «ИК № 2 УФСИН по Воронежской области»,Исправительная колония,Воронеж,"Лимит наполнения: 606 человек. Вид режима: общий для впервые отбывающих наказание. [100] 
",606.0,общий,51.693997949999996,39.33125445
99,ФКУ «ИК № 3 УФСИН по Воронежской области»,Исправительная колония,"Панинский район , п.  Перелёшино","Лимит наполнения: 1210 человек. Вид режима: строгий для ранее отбывавших наказание. [101] 
",1210.0,строгий,51.73582450000001,40.13297105
100,ФКУ «ИК № 8 УФСИН по Воронежской области»,Исправительная колония,Россошь,"Лимит наполнения: 875 человек, включая участок КП на 50 мест. Вид режима: строгий для впервые отбывающих наказание). [102] 
",875.0,строгий,50.1911897,39.56084525
101,ФКУ «ИК № 9 УФСИН по Воронежской области»,Исправительная колония,Борисоглебск,"Лимит наполнения: 820 человек, включая участок КП на 20 мест. Вид режима: общий для ранее отбывавших наказание. [103] 
",820.0,общий,51.364535999999994,42.10119545
102,ФКУ «КП № 10 УФСИН по Воронежской области»,Колония-поселение,"Панинский район , пос.  Перелёшино","Лимит наполнения: 610 человек. Вид режима: КП для впервые отбывающих наказание до 5 лет. [104] 
",610.0,КП,51.73582450000001,40.13297105
103,ФКУ «Бобровская ВК УФСИН по Воронежской области»,Воспитательная колония,Бобров,"Лимит наполнения: 159 человек. [105]  Образована в 1954 году как детская трудовая колония на базе тюрьмы для взрослых, существовавшей со времён Екатерины II. С 1958 года — трудовая колония для несовершеннолетних усиленного режима, в которую направлялись правонарушители со всего СССР. С 1969 года ВТК, в 1974 году перепрофилирована на общий режим [106] 
",159.0,,51.09427650000001,40.00532055
104,ФКУ  «СИЗО № 1 УФСИН России по  ЕАО »,Следственный изолятор,Биробиджан,"Построено в 2017 году. Находится в стадии подготовки к эксплуатации. [108] [109] 
",,,48.78934999999999,132.92023910000003
